# RA_centre: 16.980
# Dec_centre: -33.282
  RA       Dec       P_*  Hmag
  16.97456 -33.28010 0.00 18.066
  16.97484 -33.28810 0.00 17.062
  16.97667 -33.27476 1.00 17.753
  16.97816 -33.28829 0.00 19.709
  16.98428 -33.28134 0.00 17.040
  16.97916 -33.28865 0.05 19.113
  16.98747 -33.28554 0.90 23.246
  16.97418 -33.28311 0.05 19.229
  16.97450 -33.28548 0.05 18.577
  16.97460 -33.28479 0.05 17.031
  16.97487 -33.28613 0.05 17.608
  16.97629 -33.28526 0.05 18.311
  16.97617 -33.28604 0.05 17.050
  16.97670 -33.28754 0.05 19.460
  16.97741 -33.28598 0.05 18.835
  16.97768 -33.27649 0.05 18.173
  16.97795 -33.27881 0.05 19.755
  16.97823 -33.28322 0.05 19.460
  16.98046 -33.27558 0.05 18.864
  16.98089 -33.27989 0.05 18.859
  16.98112 -33.28144 0.90 19.615
  16.98185 -33.28233 0.05 19.020
  16.98370 -33.27980 0.05 19.874
  16.98378 -33.28636 0.05 17.912
  16.98561 -33.27508 0.05 18.697
  16.98565 -33.28671 0.05 19.287
  16.98582 -33.28145 0.05 19.316
  16.98631 -33.28233 0.05 19.756
  16.97455 -33.28011 0.00 17.153
  16.97484 -33.28811 0.00 17.073
  16.97533 -33.28301 0.00 19.678
  16.98427 -33.28134 0.00 17.980
  16.97667 -33.27477 1.00 17.984
  16.98466 -33.28224 1.00 26.859
  16.97909 -33.28733 1.00 19.289
