# description : Spectral line list for MICADO calibration lamp extracted from NIST
# author : Joshua Jost
# source : NIST spectral database
# date_created : 
# date_modified : 2022-08-31
# wavelength_unit : nm
#
# changes :
# - 2022-08-31 (KL) Added meta data header to file. Replaced commas with decimal points
Lamp        Wavelength  Relative_Intensity
Argon       800.8359    20000.0
Argon       801.6990    25000.0
Krypton     806.1721    100.0
Argon       810.5921    20000.0
Krypton     810.6595    4000.0
Krypton     811.5132    500.0
Argon       811.7542    35000.0
Krypton     819.2308    300.0
Xenon       823.3896    10000.0
Krypton     826.5514    400.0
Argon       826.6794    10000.0
Xenon       828.2392    7000.0
Krypton     828.3328    200.0
Krypton     830.0391    500.0
Argon       841.0521    15000.0
Xenon       841.1500    2000.0
Argon       842.6963    20000.0
Neon        849.7693    69000.0
Krypton     851.1211    200.0
Argon       852.3783    15000.0
Neon        859.3618    41000.0
Neon        863.7019    35000.0
Neon        865.6760    64000.0
Argon       867.0325    4500.0
Krypton     877.9161    300.0
Xenon       882.1832    5000.0
Xenon       886.4753    300.0
Neon        892.1950    6400.0
Krypton     893.1145    200.0
Xenon       895.4709    1000.0
Xenon       904.7930    400.0
Argon       912.5471    35000.0
Argon       915.8562    27.0
Xenon       916.5167    500.0
Xenon       917.0040    100.0
Argon       922.7030    15000.0
Argon       935.6787    1600.0
Xenon       937.7330    100.0
Neon        948.9285    5000.0
Xenon       949.9680    40.0
Xenon       950.8390    10.0
Xenon       951.5987    200.0
Neon        953.6779    6100.0
Krypton     954.3510    30.0
Neon        955.0024    2800.0
Xenon       958.7770    20.0
Argon       966.0435    25000.0
Neon        966.8071    18000.0
Xenon       968.7980    150.0
Krypton     969.0490    10.0
Xenon       970.3650    20.0
Krypton     970.6880    50.0
Krypton     971.7510    15.0
Xenon       972.0830    100.0
Krypton     974.5780    50.0
Argon       978.7186    4500.0
Xenon       980.2384    2000.0
Krypton     985.8940    500.0
Xenon       992.5919    3000.0
Xenon       996.9310    10.0
Xenon       1002.6470   50.0
Argon       1005.4820   180.0
Xenon       1006.3720   10.0
Xenon       1008.7550   20.0
Xenon       1011.0110   80.0
Krypton     1012.3730   30.0
Xenon       1012.8250   20.0
Krypton     1015.0460   10.0
Xenon       1019.1150   10.0
Xenon       1025.3880   20.0
Neon        1029.8238   420.0
Krypton     1029.9750   80.0
Argon       1033.5550   30.0
Krypton     1036.3210   100.0
Krypton     1037.7280   10.0
Argon       1047.2923   1600.0
Argon       1048.0905   13.0
Argon       1050.9380   180.0
Xenon       1051.8030   10.0
Xenon       1053.0742   900.0
Xenon       1055.2650   20.0
Neon        1056.5303   8000.0
Krypton     1059.5940   20.0
Neon        1062.3574   780.0
Argon       1067.6489   200.0
Argon       1068.4699   11.0
Xenon       1070.9710   150.0
Argon       1073.6810   30.0
Xenon       1076.1810   100.0
Neon        1080.1001   6100.0
Xenon       1084.1310   1000.0
Neon        1084.7448   9400.0
Krypton     1087.7880   150.0
Xenon       1089.8308   870.0
Neon        1102.3898   78.0
Neon        1104.7025   64.0
Neon        1105.2748   200.0
Argon       1108.1903   11.0
Xenon       1108.8273   1900.0
Argon       1110.9500   30.0
Xenon       1113.0236   375.0
Xenon       1114.4196   120.0
Neon        1114.6072   26000.0
Neon        1116.3270   270.0
Xenon       1116.5730   10.0
Neon        1118.0586   49000.0
Krypton     1119.0170   79.0
Krypton     1126.0787   130.0
Krypton     1126.2240   50.0
Neon        1139.3552   15000.0
Neon        1141.2258   8800.0
Xenon       1141.8170   15.0
Argon       1144.4965   12.0
Krypton     1146.0614   220.0
Argon       1149.1254   400.0
Xenon       1149.4370   15.0
Neon        1152.5900   33000.0
Neon        1152.8176   17000.0
Neon        1153.9503   9100.0
Neon        1160.4713   2600.0
Neon        1161.7260   13000.0
Argon       1167.1904   200.0
Neon        1169.1202   2800.0
Argon       1172.2696   12.0
Xenon       1174.5450   1750.0
Neon        1177.0014   15000.0
Neon        1179.2271   13000.0
Neon        1179.3117   3200.0
Krypton     1179.5640   140.0
Xenon       1179.6790   10.0
Krypton     1182.2614   1800.0
Neon        1198.8194   7400.0
Krypton     1200.0385   350.0
Neon        1206.9636   23000.0
Krypton     1208.0520   160.0
Argon       1211.5641   200.0
Krypton     1212.1110   150.0
Krypton     1212.6870   50.0
Argon       1214.3060   50.0
Krypton     1220.7875   840.0
Krypton     1232.4450   20.0
Argon       1234.6770   50.0
Argon       1240.6221   200.0
Argon       1244.2724   200.0
Argon       1245.9530   100.0
Neon        1246.2799   4300.0
Argon       1249.1080   200.0
Neon        1264.3775   500.0
Neon        1264.6198   710.0
Neon        1265.4443   330.0
Neon        1266.1809   470.0
Neon        1268.7003   300.0
Neon        1269.2675   6500.0
Argon       1270.5756   150.0
Argon       1273.6901   30.0
Argon       1274.9719   12.0
Neon        1275.2612   710.0
Neon        1277.3018   1600.0
Krypton     1278.6020   100.0
Argon       1280.6241   200.0
Krypton     1286.5410   46.0
Krypton     1288.2260   470.0
Neon        1291.5546   8400.0
Argon       1293.6733   50.0
Argon       1296.0203   500.0
Krypton     1298.8870   14.0
Argon       1301.1822   200.0
Krypton     1318.1015   310.0
Argon       1321.7600   200.0
Neon        1322.2858   4500.0
Argon       1323.1725   200.0
Argon       1323.4520   100.0
Argon       1327.6270   500.0
Argon       1331.6851   1000.0
Xenon       1333.5500   75.0
Krypton     1334.1530   18.0
Argon       1337.0766   1000.0
Argon       1350.7884   1000.0
Argon       1357.7329   11.0
Argon       1360.3052   30.0
Krypton     1362.6141   130.0
Argon       1362.6384   400.0
Krypton     1363.7949   250.0
Xenon       1366.0210   150.0
Krypton     1366.2120   37.0
Argon       1368.2290   200.0
Argon       1372.2328   1000.0
Krypton     1374.2612   51.0
Argon       1382.9495   10.0
Krypton     1388.6650   27.0
Argon       1391.1280   10.0
Xenon       1392.3400   15.0
Krypton     1392.7850   42.0
Krypton     1394.2810   10.0
Argon       1409.7493   200.0
Xenon       1413.2000   50.0
Xenon       1414.5960   80.0
Krypton     1416.0490   15.0
Krypton     1435.1400   51.0
Xenon       1436.8830   20.0
Krypton     1440.6220   12.0
Krypton     1443.0736   350.0
Xenon       1473.6410   200.0
Krypton     1473.8469   100.0
Krypton     1476.6720   26.0
Krypton     1476.9520   28.0
Xenon       1485.4100   20.0
Krypton     1496.5980   290.0
Neon        1499.0415   530.0
Argon       1505.0610   100.0
Xenon       1510.3800   100.0
Neon        1514.4236   350.0
Argon       1517.6840   25.0
Neon        1519.5083   270.0
Krypton     1521.3700   10.0
Neon        1523.4877   5300.0
Krypton     1524.3787   160.0
Krypton     1533.0670   12.0
Argon       1533.3530   10.0
Krypton     1533.9158   200.0
Krypton     1537.6242   725.0
Neon        1541.1803   250.0
Xenon       1542.2220   110.0
Krypton     1547.8261   150.0
Xenon       1549.5200   45.0
Xenon       1556.1400   150.0
Krypton     1568.5280   24.0
Krypton     1582.4412   105.0
