SpT     |  Mv   |  M_J  |  M_Ks | Msun 
O5V     | -6.2  |       |       | 250
O7V     | -4.8  |       |       | 28   
O7.5V   | -4.6  |       |       | 24   
O8V     | -4.5  |       |       | 22.9 
O8.5V   | -4.3  |       |       | 20.5 
O9V     | -4.2  | -3.44 | -3.20 | 19.7 
O9.5V   | -4.1  | -3.35 | -3.12 | 18.5 
B0V     | -4.0  | -3.27 | -3.04 | 17.5 
B0.5V   | -3.6  | -2.90 | -2.69 | 15   
B1V     | -3.1  | -2.43 | -2.23 | 11   
B1.5V   | -2.8  | -2.23 | -2.05 | 10   
B2V     | -1.7  | -1.24 | -1.10 | 7.3  
B2.5V   | -1.4  | -0.99 | -0.86 | 6.1  
B3V     | -1.1  | -0.73 | -0.61 | 5.4  
B4V     | -1.0  | -0.66 | -0.55 | 5.0  
B5V     | -0.9  | -0.59 | -0.48 | 4.6  
B6V     | -0.5  | -0.23 | -0.14 | 4.0  
B7V     | -0.4  | -0.16 | -0.08 | 3.9  
B8V     | -0.2  | -0.01 |  0.05 | 3.4  
B9V     |  0.7  |  0.79 |  0.82 | 2.8  
B9.5V   |  0.8  |  0.83 |  0.85 | 2.5  
A0V     |  1.11 |  1.07 |  1.07 | 2.3  
A1V     |  1.34 |  1.25 |  1.24 | 2.15 
A2V     |  1.48 |  1.32 |  1.29 | 2.05 
A3V     |  1.55 |  1.35 |  1.32 | 2.00 
A4V     |  1.76 |  1.47 |  1.41 | 1.90 
A5V     |  1.84 |  1.51 |  1.44 | 1.85 
A6V     |  1.89 |  1.54 |  1.46 | 1.83 
A7V     |  2.07 |  1.64 |  1.54 | 1.76 
A8V     |  2.29 |  1.78 |  1.66 | 1.68
A9V     |  2.30 |  1.79 |  1.67 | 1.67
F0V     |  2.51 |  1.90 |  1.76 | 1.59 
F1V     |  2.79 |  2.13 |  1.96 | 1.50 
F2V     |  2.99 |  2.26 |  2.07 | 1.44 
F3V     |  3.08 |  2.32 |  2.12 | 1.43 
F4V     |  3.23 |  2.42 |  2.21 | 1.39 
F5V     |  3.40 |  2.55 |  2.32 | 1.33 
F6V     |  3.70 |  2.78 |  2.52 | 1.25 
F7V     |  3.87 |  2.90 |  2.63 | 1.21 
F8V     |  4.01 |  3.01 |  2.72 | 1.18 
F9V     |  4.15 |  3.11 |  2.81 | 1.14 
F9.5V   |  4.29 |  3.22 |  2.91 | 1.11 
G0V     |  4.45 |  3.34 |  3.01 | 1.08 
G1V     |  4.50 |  3.38 |  3.04 | 1.07 
G2V     |  4.79 |  3.57 |  3.20 | 1.02 
G3V     |  4.86 |  3.64 |  3.27 | 1.00 
G4V     |  4.94 |  3.70 |  3.32 | 0.99 
G5V     |  4.98 |  3.74 |  3.35 | 0.98 
G6V     |  5.13 |  3.84 |  3.44 | 0.97 
G7V     |  5.18 |  3.88 |  3.47 | 0.96 
G8V     |  5.32 |  3.97 |  3.55 | 0.94 
G9V     |  5.55 |  4.14 |  3.69 | 0.90 
K0V     |  5.76 |  4.29 |  3.81 | 0.87 
K0.5V   |  5.80 |  4.31 |  3.82 | 0.86 
K1V     |  5.89 |  4.37 |  3.87 | 0.85 
K1.5V   |  5.97 |  4.41 |  3.90 | 0.82 
K2V     |  6.19 |  4.57 |  4.04 | 0.78 
K2.5V   |  6.34 |  4.63 |  4.07 | 0.76 
K3V     |  6.57 |  4.76 |  4.16 | 0.75 
K3.5V   |  6.79 |  4.85 |  4.21 | 0.73 
K4V     |  6.98 |  4.92 |  4.25 | 0.72 
K4.5V   |  7.04 |  4.94 |  4.26 | 0.71 
K5V     |  7.36 |  5.18 |  4.48 | 0.68 
K5.5V   |  7.60 |  5.30 |  4.57 | 0.66 
K6V     |  7.80 |  5.41 |  4.66 | 0.65 
K6.5V   |  8.01 |  5.56 |  4.78 | 0.64 
K7V     |  8.15 |  5.60 |  4.82 | 0.63 
K8V     |  8.47 |  5.78 |  4.98 | 0.59 
K9V     |  8.69 |  5.92 |  5.11 | 0.56 
M0V     |  8.91 |  6.04 |  5.22 | 0.55 
M0.5V   |  9.20 |  6.19 |  5.36 | 0.54 
M1V     |  9.69 |  6.51 |  5.67 | 0.49 
M1.5V   |  9.97 |  6.69 |  5.85 | 0.47 
M2V     | 10.30 |  6.89 |  6.06 | 0.44 
M2.5V   | 10.70 |  7.01 |  6.27 | 0.40 
M3V     | 11.14 |  7.40 |  6.54 | 0.36 
M3.5V   | 12.19 |  8.02 |  7.19 | 0.26 
M4V     | 12.80 |  8.39 |  7.55 | 0.22 
M4.5V   | 13.57 |  8.79 |  7.93 | 0.18 
M5V     | 14.30 |  9.25 |  8.36 | 0.16 
M5.5V   | 15.51 |  9.93 |  9.01 | 0.12 
M6V     | 16.62 | 10.28 |  9.32 | 0.10 
M6.5V   | 17.07 | 10.47 |  9.47 | 0.097
M7V     | 17.81 | 10.66 |  9.76 | 0.090
M7.5V   | 18.42 | 10.78 |  9.97 | 0.089
M8V     | 18.84 | 11.23 | 10.11 | 0.082
M8.5V   | 19.14 | 11.45 | 10.22 | 0.081
M9V     | 19.36 | 11.53 | 10.30 | 0.079
M9.5V   | 30.00 | 20.00 | 20.00 | 0.01
